 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor
495,Désolé (feat. Fatoumata Diawara) - Extended Version,"Gorillaz, Fatoumata Diawara",136,9A,69,2025-12-03,05:33,55,,,"Song Machine, Season One: Strange Timez (Deluxe)",2020-10-23,73,34,23,86,0,0,-8,E minor,4,7rhtPZkcGCWgA3kizGwXwO,Parlophone UK,GBAYE2000649,Puffy
496,Talk Too Much,COIN,104,12B,89,2025-12-03,03:08,64,,,How Will You Know If You Never Try,2017-04-21,60,1,0,48,0,30,-5,E,4,4djIFfof5TpbSGRZUpsTXq,StarTime International/Columbia,USSM11602662,Puffy
497,Here Come The Aliens!,Seb Lowe,126,10A,81,2025-12-03,03:35,44,,,Here Come The Aliens!,2025-02-12,57,0,0,47,0,20,-6,B minor,4,0c9HS1NHLhLY6rhKWS6ufE,Independent,UKXN22540635,Gabe
498,Achilles Come Down,Gang of Youths,180,5A,52,2025-12-03,07:02,66,,,Go Farther In Lightness,2017-08-18,22,44,28,15,0,20,-9,C minor,3,22TntnVO3lQNDR5nsvxGRs,Mosy Music,AUBM01700503,Gabe
499,I Will Never (Be Your Friend),Irish Stew of Sindidun,122,8B,91,2025-12-05,05:06,22,"celtic rock, celtic punk, celtic","Folk, Traditional Music, Rock",Dare to Dream,2008-01-01,54,16,0,56,0,20,-4,C,4,5OKPWZpiKFdTQWEBXBKL5I,Phonofile Balkan,NOAPI1588076,Sarah
500,She's So Nice,Pink Guy,86,11A,58,2025-12-07,02:43,60,,,Pink Season,2017-01-04,83,60,0,59,10,0,-8,F#/G♭ minor,4,0Dfctnkk9xIikDKJ06uwzo,Pink Records,QZ4JJ1704549,Kathryn
601,Dragostea din tei,O-Zone,130,8B,97,2025-12-07,03:35,71,"europop, eurodance","Electronic, Pop",DiscO-Zone,2004-02-23,80,18,0,68,0,0,-4,C,4,52Zr0sinhWTCRrQhRRY4EP,Cat Music,ROMSA0600487,Kathryn
602,From The Start,Laufey,81,3B,34,2025-12-07,02:49,87,,,Bewitched,2023-09-08,55,89,0,83,0,10,-10,C♯/D♭,4,43iIQbw5hx986dUEZbr3eN,Laufey,QMDA62312093,Aiden
603,Push The Pace,"temcandoanything, Kasane Teto, GUMI",117,9A,72,2025-12-07,03:02,44,"vocaloid, anime","Pop, Electronic",Push The Pace,2025-11-28,74,44,3,43,0,10,-6,E minor,4,3rJbcXJdRGtZhehHWO0j6j,temcandoanything,QT3FC2588167,Aiden
604,Take Your Own Advice,Venjent,172,7B,96,2025-12-07,03:23,43,drum and bass,Electronic,Take Your Own Advice,2025-10-13,27,1,3,6,30,10,-2,F,4,1vhYsmV8hxv2qxDMySDz88,Chilli Tribe Records,QZYD92500482,Sam
605,Dawson's Christian,Vic Tyler,123,10B,45,2025-12-07,04:58,21,sea shanties,Traditional Music,Dawson's Christian,2023-03-15,78,82,0,77,0,10,-12,D,4,0vM43BV3MEXkzAfg4ERZ57,Prometheus Music,usdy42339749,Miller
606,Dracula,Tame Impala,115,2A,73,2025-12-07,03:25,84,"neo-psychedelic, indie","Pop, Rock",Dracula,2025-09-26,42,3,0,61,0,30,-4,D#/E♭ minor,4,709ZIqPHyFOpx2QdjmeWAM,Columbia,USQX92504223,Jean
607,Children,BIN,180,12A,78,2025-12-07,02:52,0,"japanese indie, j-pop, j-rock","Pop, Rock",Children,2019-04-03,53,6,0,78,10,0,-3,C♯/D♭ minor,4,74h5v849XYYyASTighDtoa,BIN,TCJPI1984412,Jean
608,No. 1 Obsession,5 Seconds of Summer,138,10A,93,2025-12-07,03:05,61,,,EVERYONE'S A STAR! (Fully Evolved),2025-11-17,32,0,0,26,10,10,-3,B minor,4,5enE6FKFZzS2nNKpOfy5eU,5 Seconds Of Summer,USUG12507984,Hannah
609,Sick of Myself,5 Seconds of Summer,150,9B,93,2025-12-07,02:27,59,,,EVERYONE'S A STAR! (Fully Evolved),2025-11-17,33,0,0,24,20,0,-1,G,4,6AXh6IRCj8c2oKkWXY1MDQ,5 Seconds Of Summer,USUG12507989,Hannah
610,under the mat,sombr,120,8B,90,2025-12-07,04:44,68,,,I Barely Know Her,2025-08-22,46,11,0,33,0,10,-3,C,4,3t6vhRYuIpX4zlHCTC2h1d,Warner Records,USWB12503047,Hannah
611,HERE WE GO! - from the Netflix film  Beverly Hills Cop: Axel F ,Lil Nas X,158,4A,72,2025-12-07,03:12,53,,,HERE WE GO! (from the Netflix film  Beverly Hills Cop: Axel F ),2024-06-28,65,1,0,42,0,40,-7,F minor,4,4xntqnsHQA93Ai8Jcyx31j,Columbia,USSM12404720,Hannah
612,Off To The Races,Lana Del Rey,160,9A,72,2025-12-07,04:59,47,,,Born To Die,2012-01-30,40,6,0,14,0,40,-6,E minor,4,7grzMnF1FHponm2aJBWj8E,Polydor Records,GBUM71111530,Hannah
613,This Is What Makes Us Girls,Lana Del Rey,138,7A,83,2025-12-07,03:58,42,,,Born To Die,2012-01-30,53,11,2,42,10,20,-7,D minor,4,3ZYt97JWngJExm368cOrYc,Polydor Records,GBUM71111605,Hannah
614,Yours,Conan Gray,130,10B,30,2025-12-07,03:24,64,,,Superache,2022-06-24,52,85,0,17,0,10,-9,D,4,3rPVtXLBfJz59U1LgrGHhb,Republic Records,USUM72204106,Hannah
615,Boys & Girls,Conan Gray,116,6B,77,2025-12-07,02:22,55,,,Found Heaven,2024-04-05,68,0,0,80,0,10,-5,A#/B♭,4,1jGC00ZVUuVXwNdJjV17kJ,Republic Records,USUM72400709,Hannah
616,SPLASH FREE,STYLE FIVE,128,10A,98,2025-12-07,03:58,31,anime,Pop,SPLASH FREE,2013-08-07,69,16,0,80,0,10,-3,B minor,4,1s5NxPAmKw8IxkSoZLfhgF,Lantis,JPI101301579,Hannah
617,FLY HIGH!!,BURNOUT SYNDROMES,95,1B,96,2025-12-07,04:04,1,"anime, j-rock, j-pop","Pop, Rock",Lemon,2016-11-29,47,1,0,35,0,30,-1,B,4,1y3Ml1b1c4v3ZdpbWLKD1F,Sony Music Labels Inc.,JPU901503546,Hannah
618,How to Be a Heartbreaker,MARINA,140,10A,90,2025-12-07,03:41,68,,,Electra Heart (Deluxe),2012-04-27,69,1,0,85,0,10,-5,B minor,4,2sEk5R8ErGIFxbZ7rX6S2S,Atlantic Records UK,GBFFS1200077,Hannah
619,A Kiss,THE DRIVER ERA,170,2B,92,2025-12-07,04:31,57,,,Girlfriend,2021-10-15,70,21,0,64,20,10,-5,F#/G♭,4,7b4iOHMngSAFhgN120hbWB,BMG Rights Management (US) LLC,QMRSZ1902134,Hannah
620,She's My Religion,Pale Waves,162,12B,73,2025-12-07,03:09,44,,,Who Am I?,2021-02-12,52,35,0,33,0,10,-4,E,4,0LwJllN73QYBHEBdGUTyEp,Dirty Hit,GBK3W2001565,Hannah
621,Freakin' Out On the Interstate,Briston Maroney,144,12B,79,2025-12-07,04:11,70,,,Freakin' Out On The Interstate (Acoustic Version [Live]),2020-07-10,45,39,0,36,0,30,-5,E,4,0awZwmlC6pxH65KTZpadmX,Canvasback/ATL,QZBRF1882980,Hannah
622,The Other Side Of Paradise,Glass Animals,128,10A,34,2025-12-07,05:20,68,,,How To Be A Human Being,2016-08-26,69,35,0,57,0,0,-8,B minor,4,0rRjGruFonCGOt0S5zAJNQ,Wolf Tone,GB2DY1600028,Hannah
623,Hush Hush,The Band CAMINO,104,9B,95,2025-12-07,02:57,48,,,tryhard,2019-08-23,56,0,0,76,10,10,-4,G,4,3ePeWP6f8ccQtF7wayoNrD,Elektra (NEK),USAT21904256,Hannah
624,Love You When I'm Drunk,MIKA,132,8B,86,2025-12-07,02:52,32,,,The Origin Of Love (Deluxe),2012-01-01,66,14,0,92,0,30,-4,C,4,62tH3Zbrh8ClnMqHSzLxrI,Casablanca Records/Island UK,USC7R1200012,Hannah
625,Like Boys,Hyphen Hyphen,89,4A,76,2025-12-07,03:10,26,french indie pop,Pop,Like Boys,2018-03-02,57,0,0,41,0,0,-6,F minor,4,00Do6AxXoO7o8VvRPvvRKZ,Parlophone (France),FRZ041800208,Hannah
626,Friday Night Big Screen,girli,142,8B,55,2025-12-07,03:29,40,,,Odd One Out,2019-04-05,52,7,0,37,0,10,-8,C,4,4paRZHI6TDdNVUx3jV2rri,EMI,GBUM71807930,Hannah
627,RICKY,Denzel Curry,169,11B,56,2025-12-08,02:27,58,,,ZUU,2019-05-31,78,4,0,52,30,10,-7,A,4,2QbGvQssb0VLLS4x5NOmyJ,Loma Vista Recordings,USC4R1902692,Bryce
628,HEROES,GLAY,107,7B,95,2025-12-11,04:16,28,"visual kei, j-pop, j-rock, kayokyoku","Pop, Rock, Metal",HEROES/微熱Ⓐgirlサマー/つづれ織り～so far and yet so close～,2015-05-25,52,3,0,65,0,10,-3,F,4,1unOFM2AvR2SWp9lwVeznF,LSG,JPPC01500817,Hannah
629,Flow Together,Masayoshi Soken,92,4A,64,2025-12-10,04:23,33,soundtrack,"Classical, Easy Listening",ENDWALKER: FINAL FANTASY XIV Original Soundtrack,2022-02-23,48,1,0,37,0,0,-8,F minor,4,2AeLIWmDZRAJWfc08BRZiP,スクウェア・エニックス ミュージック,JPA842101868,Micah
630,Play Dead - The 4AM Mix,Tom Walker,141,10A,61,2025-12-11,03:54,22,,,Blessings - EP,2017-05-12,77,33,0,26,0,10,-7,B minor,4,1Mv2zLQwfxpk6vXC88Xc6Y,Relentless Records,GBARL1700269,Hannah
631,Desvelo,echobanda,145,6A,58,2025-12-11,01:17,10,latin indie,"Latin, Rock",Escenas De Medianoche,2023-04-21,62,2,92,39,0,10,-10,G minor,4,2D18bskoV6TAzyCqR4Bf4p,echobanda,QZHN52396763,Angel
632,Afterlife Dating (Full Band),Julia Brown,141,5B,76,2025-12-11,01:36,11,lo-fi indie,"Electronic, Rock",An Abundance of B-sides,2021-05-31,36,3,20,66,0,20,-7,D#/E♭,4,1e0YtyJSnUoTMirC2DtNjR,Free Palestine,QZHN82167335,Eunice
633,sanctuary,DM DOKURO,106,7B,59,2025-12-13,05:16,43,,,The Tale of a Cruel World (Calamity Original Game Soundtrack),2020-09-25,63,17,89,6,0,10,-10,F,4,3U1Fay5iAXRodu88zW0bgX,Materia Collective,QZ6K42000853,Aiden
634,HERO 〜希望の歌〜,FLOW,175,8B,98,2025-12-15,03:37,59,"anime, j-rock, j-pop","Pop, Rock",FLOW THE MAX !!!,2013-03-27,47,0,0,65,0,30,-2,C,4,1o7D1gLUgpFR3eJfIgpSUx,Sony Music Labels Inc.,JPKS01300521,Aiden
635,Tick Tock,Joji,81,9A,61,2025-12-15,02:12,59,,,Nectar,2020-09-24,78,4,1,61,0,10,-6,E minor,4,5lmaZcnW0eOppD4hlviQHg,88rising Music,ZZOPM2002279,Aiden
636,Catastrophes before the calamity,DM DOKURO,179,8B,67,2025-12-15,04:57,41,,,The Tale of a Cruel World (Calamity Original Game Soundtrack),2020-09-25,15,1,83,6,0,0,-6,C,4,2NqFzH7HJNLQJ7A5D9QpnB,Materia Collective,QZ6K42000857,Aiden
637,Infestation,DM DOKURO,152,12A,98,2025-12-15,04:34,49,,,The Tale of a Cruel World (Calamity Original Game Soundtrack),2020-09-25,59,0,89,81,10,30,-6,C♯/D♭ minor,4,47Yh3jaeUdh3RUr9NJ2kEj,Materia Collective,QZ6K42000822,Aiden
638,Machine Love,Jamie Paige,175,4A,83,2025-12-15,03:36,69,vocaloid,Electronic,Constant Companions,2024-10-25,63,21,1,61,0,0,-5,F minor,4,1H2pPtoPS8kNlqCN7HfT6g,Sunrise 101.1,QZPJ32342607,Aiden
639,Ultra Trailer,マサラダ,155,1B,95,2025-12-15,04:33,43,vocaloid,Electronic,Ultra Trailer,2023-11-17,48,0,0,45,10,0,-3,B,4,2GJubl14NyhExeeS0Atg3K,U&R records,JPA652309679,Aiden
640,remyboyz (Jersey Club),"HydroBoi, olly",96,6A,43,2025-12-15,02:00,53,"jersey club, philly club",Electronic,remyboyz (Jersey Club),2024-04-15,66,3,4,21,0,10,-8,G minor,4,7BnajoanMeyqvZba6l0sq9,5086466 Records DK,QZK6N2468434,Aiden
641,Crucified,Army Of Lovers,122,9A,87,2025-12-15,03:34,59,europop,Pop,Massive Luxury Overdose,1991-00-00,60,0,0,47,0,30,-12,E minor,4,6fXzdWgyZhDeLmlzC7Mvco,Giant,USGI10000215,Aiden
